WorkDate,EmployeeCode,EmployeeName,Department,Status,WorkHours,OtHours
02/03/2026,EMP-0038,Employee 38,LINE-C,PRESENT,8.0,0.0
03/02/2026,EMP-0008,Employee 8,Line C,PRESENT,8.0,0.0
03/09/2026,EMP-0018,Employee 18,Line C,PRESENT,8.0,0.0
03/09/2026,EMP-0022,Employee 22,LINE-B,PRESENT,8.0,0.0
03/11/2026,EMP-0026,Employee 26,line a,ABSENT,0.0,0.0
03/12/2026,EMP-0004,Employee 4,Q.C.,PRESENT,8.0,0.0
03/12/2026,EMP-0005,Employee 5,MA,PRESENT,8.0,0.8
03/12/2026,EMP-0009,Employee 9,Q.C.,PRESENT,8.0,2.5
03/12/2026,EMP-0016,Employee 16,LINE-A,PRESENT,8.0,0.0
03/13/2026,EMP-0008,Employee 8,Line C,PRESENT,8.0,2.5
03/13/2026,EMP-0026,Employee 26,LINE-A,PRESENT,8.0,0.0
03/13/2026,EMP-0036,Employee 36,LINE-A,PRESENT,8.0,0.8
03/18/2026,EMP-0004,Employee 4,Quality,PRESENT,8.0,0.0
03/18/2026,EMP-0023,Employee 23,LINE-C,ABSENT,0.0,0.0
03/18/2026,EMP-0024,Employee 24,Q.C.,LEAVE,0.0,0.0
03/20/2026,EMP-0013,Employee 13,line c,PRESENT,8.0,0.0
03/21/2026,EMP-0001,Employee 1,line a,PRESENT,8.0,0.0
03/21/2026,EMP-0013,Employee 13,Line C,PRESENT,8.0,0.0
03/24/2026,EMP-0032,Employee 32,line b,PRESENT,8.0,0.0
03/25/2026,EMP-0036,Employee 36,LINE-A,ABSENT,0.0,0.0
03/28/2026,EMP-0035,Employee 35,MAINT,PRESENT,8.0,0.0
05/03/2026,EMP-0033,Employee 33,line c,PRESENT,8.0,0.0
06/03/2026,EMP-0028,Employee 28,LINE-C,PRESENT,8.0,0.0
07-Mar-26,EMP-0007,Employee 7,Line B,PRESENT,8.0,0.0
07/03/2026,EMP-0039,Employee 39,QC,PRESENT,8.0,2.5
09-Mar-26,EMP-0013,Employee 13,Line C,PRESENT,8.0,1.3
10/03/2026,EMP-0014,Employee 14,Q.C.,PRESENT,8.0,0.0
10/03/2026,EMP-0039,Employee 39,Q.C.,PRESENT,8.0,0.0
11-Mar-26,EMP-0015,Employee 15,Maint,PRESENT,8.0,0.0
11-Mar-26,EMP-0027,Employee 27,Line B,PRESENT,8.0,0.0
11-Mar-26,EMP-0039,Employee 39,QC,PRESENT,8.0,0.0
11/03/2026,EMP-0008,Employee 8,LINE-C,PRESENT,8.0,0.0
11/03/2026,EMP-0038,Employee 38,LINE-C,PRESENT,8.0,0.0
12-Mar-26,EMP-0019,Employee 19,Quality,LATE,7.5,0.0
12-Mar-26,EMP-0030,Employee 30,MA,PRESENT,8.0,1.7
12/03/2026,EMP-0007,Employee 7,LINE-B,PRESENT,8.0,0.0
12/03/2026,EMP-0008,Employee 8,Line C,PRESENT,8.0,0.0
12/03/2026,EMP-0031,Employee 31,LINE-A,PRESENT,8.0,0.0
16-Mar-26,EMP-0037,Employee 37,Line B,PRESENT,8.0,0.0
17/03/2026,EMP-0010,Employee 10,MA,PRESENT,8.0,0.0
18-Mar-26,EMP-0002,Employee 2,line b,PRESENT,8.0,1.3
18/03/2026,EMP-0014,Employee 14,Q.C.,PRESENT,8.0,0.0
19-Mar-26,EMP-0004,Employee 4,QC,SICK,0.0,0.0
19/03/2026,EMP-0006,Employee 6,line a,PRESENT,8.0,1.3
20/03/2026,EMP-0004,Employee 4,QC,PRESENT,8.0,2.5
2026-03-02,EMP-0001,Employee 1,Line A,PRESENT,8.0,1.3
2026-03-02,EMP-0002,Employee 2,Line B,PRESENT,8.0,0.0
2026-03-02,EMP-0003,Employee 3,LINE-C,PRESENT,8.0,0.0
2026-03-02,EMP-0004,Employee 4,QC,present,8.0,0.0
2026-03-02,EMP-0005,Employee 5,MA,PRESENT,8.0,0.0
2026-03-02,EMP-0006,Employee 6,Line A,LATE,7.5,0.0
2026-03-02,EMP-0007,Employee 7,LINE-B,PRESENT,8.0,0.0
2026-03-02,EMP-0009,Employee 9,QC,PRESENT,8.0,2.5
2026-03-02,EMP-0010,Employee 10,MA,PRESENT,8.0,0.0
2026-03-02,EMP-0011,Employee 11,line a,PRESENT,8.0,0.0
2026-03-02,EMP-0012,Employee 12,Line B,PRESENT,8.0,0.0
2026-03-02,EMP-0013,Employee 13,line c,PRESENT,8.0,1.3
