WorkDate,EmployeeCode,EmployeeName,Department,Status,WorkHours,OtHours
01/11/2025,EMP-0020,Employee 20,MAINT,PRESENT,8.0,0.0
03-Nov-25,EMP-0006,Employee 6,Line A,PRESENT,8.0,0.0
06-Nov-25,EMP-0013,Employee 13,Line C,PRESENT,8.0,1.3
08-Nov-25,EMP-0019,Employee 19,Q.C.,PRESENT,8.0,0.0
10-Nov-25,EMP-0010,Employee 10,MAINT,PRESENT,8.0,1.3
10/11/2025,EMP-0013,Employee 13,Line C,PRESENT,8.0,0.0
11-Nov-25,EMP-0001,Employee 1,LINE-A,PRESENT,8.0,1.3
11-Nov-25,EMP-0009,Employee 9,QC,PRESENT,8.0,1.3
11/01/2025,EMP-0026,Employee 26,LINE-A,SICK,0.0,0.0
11/01/2025,EMP-0030,Employee 30,MA,PRESENT,8.0,0.0
11/03/2025,EMP-0002,Employee 2,LINE-B,PRESENT,8.0,0.0
11/03/2025,EMP-0028,Employee 28,Line C,SICK,0.0,0.0
11/05/2025,EMP-0038,Employee 38,Line C,PRESENT,8.0,0.0
11/05/2025,EMP-0038,Employee 38,Line C,PRESENT,8.0,0.0
11/07/2025,EMP-0025,Employee 25,Maint,PRESENT,8.0,0.0
11/07/2025,EMP-0027,Employee 27,line b,PRESENT,8.0,0.0
11/10/2025,EMP-0016,Employee 16,Line A,PRESENT,8.0,0.0
11/11/2025,EMP-0028,Employee 28,LINE-C,PRESENT,8.0,0.9
11/11/2025,EMP-0033,Employee 33,line c,PRESENT,8.0,0.0
11/18/2025,EMP-0015,Employee 15,Maint,PRESENT,8.0,0.9
11/18/2025,EMP-0040,Employee 40,Maint,PRESENT,8.0,0.0
11/20/2025,EMP-0002,Employee 2,line b,PRESENT,8.0,1.8
11/20/2025,EMP-0034,Employee 34,Quality,PRESENT,8.0,0.0
11/21/2025,EMP-0033,Employee 33,LINE-C,PRESENT,8.0,0.0
11/22/2025,EMP-0003,Employee 3,Line C,PRESENT,8.0,2.6
11/26/2025,EMP-0019,Employee 19,Quality,PRESENT,8.0,1.3
11/27/2025,EMP-0029,Employee 29,Q.C.,PRESENT,8.0,0.0
11/28/2025,EMP-0010,Employee 10,MAINT,ABSENT,0.0,0.0
11/28/2025,EMP-0020,Employee 20,MAINT,PRESENT,8.0,0.0
11/29/2025,EMP-0015,Employee 15,MAINT,PRESENT,8.0,0.0
12-Nov-25,EMP-0013,Employee 13,LINE-C,ABSENT,0.0,0.0
12-Nov-25,EMP-0028,Employee 28,line c,PRESENT,8.0,1.3
12-Nov-25,EMP-0035,Employee 35,Maint,PRESENT,8.0,0.0
12/11/2025,EMP-0007,Employee 7,Line B,SICK,0.0,0.0
13-Nov-25,EMP-0031,Employee 31,Line A,PRESENT,8.0,1.3
13/11/2025,EMP-0001,Employee 1,line a,PRESENT,8.0,1.8
15-Nov-25,EMP-0038,Employee 38,Line C,PRESENT,8.0,0.0
17-Nov-25,EMP-0008,Employee 8,LINE-C,PRESENT,8.0,0.0
17-Nov-25,EMP-0040,Employee 40,Maint,PRESENT,8.0,0.0
18/11/2025,EMP-0037,Employee 37,LINE-B,PRESENT,8.0,1.8
18/11/2025,EMP-0039,Employee 39,Quality,PRESENT,8.0,0.0
20-Nov-25,EMP-0020,Employee 20,Maint,PRESENT,8.0,0.0
20/11/2025,EMP-0021,Employee 21,line a,PRESENT,8.0,0.0
2025-11-01,EMP-0001,Employee 1,line a,PRESENT,8.0,0.0
2025-11-01,EMP-0002,Employee 2,line b,PRESENT,8.0,0.0
2025-11-01,EMP-0003,Employee 3,Line C,PRESENT,8.0,0.0
2025-11-01,EMP-0004,Employee 4,QC,PRESENT,8.0,0.0
2025-11-01,EMP-0005,Employee 5,MAINT,PRESENT,8.0,0.0
2025-11-01,EMP-0006,Employee 6,line a,PRESENT,8.0,2.6
2025-11-01,EMP-0007,Employee 7,Line B,ABSENT,0.0,0.0
2025-11-01,EMP-0008,Employee 8,LINE-C,PRESENT,8.0,0.0
2025-11-01,EMP-0009,Employee 9,Q.C.,PRESENT,8.0,0.0
2025-11-01,EMP-0010,Employee 10,Maint,PRESENT,8.0,0.0
2025-11-01,EMP-0011,Employee 11,LINE-A,PRESENT,8.0,2.6
2025-11-01,EMP-0012,Employee 12,Line B,LEAVE,0.0,0.0
2025-11-01,EMP-0013,Employee 13,line c,PRESENT,8.0,2.6
2025-11-01,EMP-0014,Employee 14,Quality,PRESENT,8.0,1.3
2025-11-01,EMP-0015,Employee 15,Maint,PRESENT,8.0,0.0
2025-11-01,EMP-0016,Employee 16,line a,PRESENT,8.0,0.0
2025-11-01,EMP-0017,Employee 17,Line B,LATE,7.0,0.0
2025-11-01,EMP-0018,Employee 18,Line C,PRESENT,8.0,1.3
