WorkDate,EmployeeCode,EmployeeName,Department,Status,WorkHours,OtHours
01/12/2025,EMP-0034,Employee 34,QC,late,7.0,0.0
03/12/2025,EMP-0037,Employee 37,LINE-B,PRESENT,8.0,0.0
06-Dec-25,EMP-0024,Employee 24,QC,PRESENT,8.0,2.6
06/12/2025,EMP-0001,Employee 1,line a,PRESENT,8.0,0.0
06/12/2025,EMP-0030,Employee 30,MA,PRESENT,8.0,0.0
08-Dec-25,EMP-0030,Employee 30,Maint,PRESENT,8.0,0.0
08/12/2025,EMP-0036,Employee 36,LINE-A,LEAVE,0.0,0.0
08/12/2025,EMP-0038,Employee 38,LINE-C,PRESENT,8.0,0.0
09/12/2025,EMP-0003,Employee 3,Line C,PRESENT,8.0,2.6
10/12/2025,EMP-0024,Employee 24,QC,PRESENT,8.0,1.3
12-Dec-25,EMP-0030,Employee 30,MAINT,PRESENT,8.0,0.0
12/01/2025,EMP-0027,Employee 27,Line B,PRESENT,8.0,0.0
12/01/2025,EMP-0031,Employee 31,Line A,PRESENT,8.0,0.0
12/02/2025,EMP-0031,Employee 31,line a,LEAVE,0.0,0.0
12/04/2025,EMP-0019,Employee 19,Q.C.,PRESENT,8.0,1.3
12/06/2025,EMP-0032,Employee 32,LINE-B,PRESENT,8.0,0.0
12/08/2025,EMP-0017,Employee 17,line b,PRESENT,8.0,0.0
12/12/2025,EMP-0040,Employee 40,MAINT,PRESENT,8.0,0.0
12/13/2025,EMP-0030,Employee 30,Maint,PRESENT,8.0,1.7
12/16/2025,EMP-0031,Employee 31,line a,PRESENT,8.0,0.0
12/17/2025,EMP-0001,Employee 1,line a,PRESENT,8.0,1.7
12/17/2025,EMP-0007,Employee 7,LINE-B,PRESENT,8.0,0.0
12/17/2025,EMP-0019,Employee 19,QC,PRESENT,8.0,0.9
12/17/2025,EMP-0030,Employee 30,MA,PRESENT,8.0,1.7
12/19/2025,EMP-0013,Employee 13,Line C,PRESENT,8.0,0.0
12/22/2025,EMP-0025,Employee 25,MA,PRESENT,8.0,0.9
12/24/2025,EMP-0006,Employee 6,line a,PRESENT,8.0,0.0
12/25/2025,EMP-0032,Employee 32,LINE-B,PRESENT,8.0,2.6
12/26/2025,EMP-0031,Employee 31,line a,PRESENT,8.0,0.0
12/27/2025,EMP-0019,Employee 19,Q.C.,PRESENT,8.0,0.0
12/27/2025,EMP-0032,Employee 32,LINE-B,PRESENT,8.0,0.0
12/29/2025,EMP-0015,Employee 15,MA,PRESENT,8.0,0.0
12/29/2025,EMP-0035,Employee 35,MAINT,PRESENT,8.0,0.0
12/30/2025,EMP-0030,Employee 30,Maint,PRESENT,8.0,0.0
