WorkDate,EmployeeCode,EmployeeName,Department,Status,WorkHours,OtHours
01-Jan-25,EMP-0008,Employee 8,LINE-C,PRESENT,8.0,0.0
01-Jan-25,EMP-0037,Employee 37,Line B,PRESENT,8.0,0.0
01/01/2025,EMP-0011,Employee 11,LINE-A,LATE,7.0,1.0
01/03/2025,EMP-0040,Employee 40,Maint,PRESENT,8.0,0.0
01/04/2025,EMP-0030,Employee 30,MA,PRESENT,8.0,0.0
01/04/2025,EMP-0036,Employee 36,LINE-A,PRESENT,8.0,0.0
01/07/2025,EMP-0033,Employee 33,line c,PRESENT,8.0,2.0
01/07/2025,EMP-0036,Employee 36,line a,PRESENT,8.0,0.0
01/09/2025,EMP-9999,Employee 25,MAINT,present,8.0,1.5
01/14/2025,EMP-0025,Employee 25,Maint,PRESENT,8.0,0.0
01/17/2025,EMP-0008,Employee 8,Line C,PRESENT,8.0,0.0
01/17/2025,EMP-0022,Employee 22,Line B,PRESENT,8.0,0.0
01/21/2025,EMP-0033,Employee 33,LINE-C,PRESENT,8.0,3.0
01/22/2025,EMP-0024,Employee 24,Q.C.,PRESENT,8.0,3.0
01/25/2025,EMP-0016,Employee 16,Line A,PRESENT,8.0,1.0
01/27/2025,EMP-0038,Employee 38,line c,LEAVE,0.0,0.0
01/28/2025,EMP-0018,Employee 18,Line C,ABSENT,0.0,0.0
01/28/2025,EMP-0035,Employee 35,Maint,PRESENT,8.0,1.0
01/29/2025,EMP-0018,Employee 18,LINE-C,PRESENT,8.0,0.0
01/31/2025,EMP-0026,Employee 26,LINE-A,PRESENT,8.0,0.0
02-Jan-25,EMP-0012,Employee 12,Line B,PRESENT,8.0,0.0
03-Jan-25,EMP-0031,Employee 31,LINE-A,PRESENT,8.0,0.0
04-Jan-25,EMP-0029,Employee 29,Q.C.,PRESENT,8.0,1.5
06/01/2025,EMP-0020,Employee 20,MA,PRESENT,8.0,2.0
07-Jan-25,EMP-0016,Employee 16,LINE-A,PRESENT,8.0,0.0
07/01/2025,EMP-0027,Employee 27,line b,PRESENT,8.0,1.0
