WorkDate,EmployeeCode,EmployeeName,Department,Status,WorkHours,OtHours
02/05/2025,EMP-0036,Employee 36,line a,PRESENT,8.0,1.9
03-May-25,EMP-0025,Employee 25,MA,PRESENT,8.0,0.0
03/05/2025,EMP-0021,Employee 21,LINE-A,PRESENT,8.0,0.0
05-May-25,EMP-0003,Employee 3,LINE-C,PRESENT,8.0,0.0
05-May-25,EMP-0004,Employee 4,QC,PRESENT,8.0,2.9
05-May-25,EMP-0026,Employee 26,line a,PRESENT,8.0,0.0
05/01/2025,EMP-0021,Employee 21,LINE-A,PRESENT,8.0,0.0
05/03/2025,EMP-0012,Employee 12,LINE-B,PRESENT,8.0,0.0
05/05/2025,EMP-0020,Employee 20,MAINT,PRESENT,8.0,0.0
05/05/2025,EMP-0039,Employee 39,Q.C.,SICK,0.0,0.0
05/09/2025,EMP-0031,Employee 31,line a,PRESENT,8.0,0.0
05/10/2025,EMP-0033,Employee 33,LINE-C,PRESENT,8.0,1.4
05/12/2025,EMP-0019,Employee 19,Q.C.,PRESENT,8.0,0.0
05/12/2025,EMP-0028,Employee 28,line c,PRESENT,8.0,0.0
05/12/2025,EMP-0035,Employee 35,MAINT,LATE,7.0,0.0
05/13/2025,EMP-0031,Employee 31,line a,PRESENT,8.0,0.0
05/13/2025,EMP-0038,Employee 38,line c,PRESENT,8.0,0.0
05/14/2025,EMP-0028,Employee 28,LINE-C,PRESENT,8.0,1.0
05/15/2025,EMP-0001,Employee 1,line a,PRESENT,8.0,0.0
05/16/2025,EMP-0022,Employee 22,Line B,PRESENT,8.0,1.0
05/16/2025,EMP-0030,Employee 30,MA,PRESENT,8.0,1.9
05/19/2025,EMP-0040,Employee 40,MA,LATE,7.0,0.0
05/21/2025,EMP-0006,Employee 6,LINE-A,ABSENT,0.0,0.0
05/21/2025,EMP-0013,Employee 13,Line C,PRESENT,8.0,1.4
05/28/2025,EMP-0035,Employee 35,Maint,PRESENT,8.0,2.9
05/29/2025,EMP-0003,Employee 3,Line C,PRESENT,8.0,0.0
05/30/2025,EMP-0021,Employee 21,LINE-A,PRESENT,8.0,0.0
05/31/2025,EMP-0037,Employee 37,Line B,LATE,7.5,0.0
06-May-25,EMP-0011,Employee 11,Line A,PRESENT,8.0,0.0
06/05/2025,EMP-0029,Employee 29,QC,PRESENT,8.0,1.4
07-May-25,EMP-0023,Employee 23,LINE-C, PRESENT,8.0,0.0
07/05/2025,EMP-0032,Employee 32,line b,PRESENT,8.0,1.4
08-May-25,EMP-0035,Employee 35,MA,PRESENT,8.0,0.0
10-May-25,EMP-0021,Employee 21,LINE-A,PRESENT,8.0,0.0
12-May-25,EMP-0040,Employee 40,Maint,PRESENT,8.0,0.0
14-May-25,EMP-0033,Employee 33,LINE-C,PRESENT,8.0,0.0
14/05/2025,EMP-0017,Employee 17,Line B,PRESENT,8.0,0.0
15/05/2025,EMP-0029,Employee 29,QC,PRESENT,8.0,1.4
15/05/2025,EMP-0036,Employee 36,Line A,PRESENT,8.0,0.0
16-May-25,EMP-0006,Employee 6,Line A,PRESENT,8.0,0.0
17-May-25,EMP-0028,Employee 28,Line C,PRESENT,8.0,0.0
19/05/2025,EMP-0018,Employee 18,Line C,PRESENT,8.0,0.0
20/05/2025,EMP-0015,Employee 15,MA,PRESENT,8.0,0.0
2025-05-01,EMP-0001,Employee 1,Line A,LATE,7.0,0.0
2025-05-01,EMP-0002,Employee 2,LINE-B,PRESENT,8.0,2.9
2025-05-01,EMP-0003,Employee 3,LINE-C,PRESENT,8.0,0.0
2025-05-01,EMP-0004,Employee 4,Q.C.,ABSENT,0.0,0.0
2025-05-01,EMP-0005,Employee 5,MAINT,LATE,7.0,0.0
2025-05-01,EMP-0006,Employee 6,LINE-A,PRESENT,8.0,0.0
2025-05-01,EMP-0007,Employee 7,line b,PRESENT,8.0,0.0
2025-05-01,EMP-0008,Employee 8,line c,PRESENT,8.0,0.0
2025-05-01,EMP-0009,Employee 9,Quality,PRESENT,8.0,0.0
2025-05-01,EMP-0010,Employee 10,Maint,PRESENT,8.0,0.0
2025-05-01,EMP-0011,Employee 11,line a,PRESENT,8.0,0.0
2025-05-01,EMP-0012,Employee 12,line b,ABSENT,0.0,0.0
2025-05-01,EMP-0013,Employee 13,LINE-C,PRESENT,8.0,1.0
