WorkDate,EmployeeCode,EmployeeName,Department,Status,WorkHours,OtHours
02-Oct-25,EMP-0020,Employee 20,Maint,LATE,7.0,0.0
04-Oct-25,EMP-0005,Employee 5,MA,PRESENT,8.0,0.0
04-Oct-25,EMP-0014,Employee 14,QC,PRESENT,8.0,0.9
06/10/2025,EMP-0003,Employee 3,Line C,LATE,7.5,0.0
06/10/2025,EMP-0012,Employee 12,LINE-B,PRESENT,8.0,2.7
06/10/2025,EMP-0024,Employee 24,Q.C., PRESENT,8.0,0.0
07/10/2025,EMP-0005,Employee 5,MA,PRESENT,8.0,1.8
07/10/2025,EMP-0036,Employee 36,line a,PRESENT,8.0,0.0
09-Oct-25,EMP-0017,Employee 17,line b,PRESENT,8.0,1.8
09/10/2025,EMP-0008,Employee 8,Line C,PRESENT,8.0,0.0
09/10/2025,EMP-0014,Employee 14,Q.C.,PRESENT,8.0,0.0
09/10/2025,EMP-0033,Employee 33,line c,LEAVE,0.0,0.0
10-Oct-25,EMP-0034,Employee 34,Q.C.,PRESENT,8.0,2.7
10/02/2025,EMP-0023,Employee 23,line c,PRESENT,8.0,2.7
10/03/2025,EMP-0040,Employee 40,MAINT,PRESENT,8.0,0.0
10/06/2025,EMP-0031,Employee 31,Line A,PRESENT,8.0,0.0
10/08/2025,EMP-0020,Employee 20,MAINT,LEAVE,0.0,0.0
10/08/2025,EMP-0036,Employee 36,LINE-A,PRESENT,8.0,0.0
10/09/2025,EMP-0019,Employee 19,QC,PRESENT,8.0,0.0
10/10/2025,EMP-0001,Employee 1,line a,PRESENT,8.0,0.0
10/10/2025,EMP-0012,Employee 12,Line B,ABSENT,0.0,0.0
10/10/2025,EMP-0036,Employee 36,line a,ABSENT,0.0,0.0
10/13/2025,EMP-0032,Employee 32,Line B,PRESENT,8.0,2.7
10/14/2025,EMP-0004,Employee 4,Quality,PRESENT,8.0,0.0
10/15/2025,EMP-0002,Employee 2,LINE-B,PRESENT,8.0,0.0
10/15/2025,EMP-0020,Employee 20,MA,PRESENT,8.0,0.0
10/16/2025,EMP-0027,Employee 27,LINE-B,PRESENT,8.0,0.0
10/16/2025,EMP-0030,Employee 30,MA,PRESENT,8.0,0.0
10/20/2025,EMP-0034,Employee 34,Q.C.,PRESENT,8.0,0.0
10/21/2025,EMP-0016,Employee 16,LINE-A,PRESENT,8.0,0.0
10/21/2025,EMP-0023,Employee 23,LINE-C,LEAVE,0.0,0.0
10/22/2025,EMP-0020,Employee 20,Maint,PRESENT,8.0,0.0
10/22/2025,EMP-0034,Employee 34,QC,PRESENT,8.0,0.0
10/27/2025,EMP-0012,Employee 12,LINE-B,PRESENT,8.0,0.0
10/28/2025,EMP-0034,Employee 34,QC,PRESENT,8.0,0.0
11/10/2025,EMP-0012,Employee 12,line b,PRESENT,8.0,0.0
11/10/2025,EMP-0035,Employee 35,Maint,PRESENT,8.0,0.0
13-Oct-25,EMP-0002,Employee 2,Line B,PRESENT,8.0,0.0
14-Oct-25,EMP-0009,Employee 9,Quality,LEAVE,0.0,0.0
15/10/2025,EMP-0005,Employee 5,MA,PRESENT,8.0,0.9
15/10/2025,EMP-0030,Employee 30,Maint,PRESENT,8.0,0.0
15/10/2025,EMP-0040,Employee 40,MAINT,PRESENT,8.0,0.0
16-Oct-25,EMP-0040,Employee 40,Maint,PRESENT,8.0,0.0
16/10/2025,EMP-0022,Employee 22,line b,PRESENT,8.0,0.0
17-Oct-25,EMP-0013,Employee 13,LINE-C,PRESENT,8.0,0.0
18/10/2025,EMP-0020,Employee 20,MA,PRESENT,8.0,1.8
2025-10-01,EMP-0001,Employee 1,line a,PRESENT,8.0,0.0
2025-10-01,EMP-0002,Employee 2,LINE-B,ABSENT,0.0,0.0
2025-10-01,EMP-0003,Employee 3,LINE-C,LATE,7.5,0.0
2025-10-01,EMP-0004,Employee 4,Quality,PRESENT,8.0,0.0
2025-10-01,EMP-0005,Employee 5,MA,PRESENT,8.0,0.0
2025-10-01,EMP-0006,Employee 6,Line A,PRESENT,8.0,0.0
2025-10-01,EMP-0007,Employee 7,LINE-B,PRESENT,8.0,0.0
2025-10-01,EMP-0008,Employee 8,Line C,PRESENT,8.0,0.0
2025-10-01,EMP-0009,Employee 9,Quality,SICK,0.0,0.0
2025-10-01,EMP-0010,Employee 10,Maint,PRESENT,8.0,1.8
2025-10-01,EMP-0011,Employee 11,line a,PRESENT,8.0,0.9
2025-10-01,EMP-0012,Employee 12,Line B,present,8.0,0.0
2025-10-01,EMP-0013,Employee 13,Line C,PRESENT,8.0,1.8
2025-10-01,EMP-0014,Employee 14,QC,PRESENT,8.0,1.3
2025-10-01,EMP-0015,Employee 15,Maint,PRESENT,8.0,0.0
2025-10-01,EMP-0016,Employee 16,LINE-A,PRESENT,8.0,0.0
2025-10-01,EMP-0017,Employee 17,Line B,LATE,7.5,1.3
2025-10-01,EMP-0018,Employee 18,LINE-C,PRESENT,8.0,1.8
2025-10-01,EMP-0019,Employee 19,QC,PRESENT,8.0,0.0
2025-10-01,EMP-0020,Employee 20,MAINT,PRESENT,8.0,0.0
2025-10-01,EMP-0021,Employee 21,line a,PRESENT,8.0,0.0
2025-10-01,EMP-0022,Employee 22,LINE-B,PRESENT,8.0,0.0
2025-10-01,EMP-0023,Employee 23,line c,PRESENT,8.0,0.0
2025-10-01,EMP-0024,Employee 24,QC,ABSENT,0.0,0.0
2025-10-01,EMP-0025,Employee 25,Maint,PRESENT,8.0,0.0
2025-10-01,EMP-0026,Employee 26,LINE-A,PRESENT,8.0,0.0
2025-10-01,EMP-0027,Employee 27,LINE-B,LEAVE,0.0,0.0
2025-10-01,EMP-0028,Employee 28,LINE-C,LATE,7.5,0.0
2025-10-01,EMP-0029,Employee 29,Q.C.,PRESENT,8.0,0.0
2025-10-01,EMP-0030,Employee 30,Maint,PRESENT,8.0,0.0
2025-10-01,EMP-0031,Employee 31,Line A,PRESENT,8.0,0.0
2025-10-01,EMP-0032,Employee 32,line b,PRESENT,8.0,0.0
2025-10-01,EMP-0033,Employee 33,Line C,LEAVE,0.0,0.0
2025-10-01,EMP-0034,Employee 34,Quality,PRESENT,8.0,1.8
2025-10-01,EMP-0035,Employee 35,MAINT,PRESENT,8.0,0.9
